Movie Name,View Date,RT,RTA,Fumble Expectation,Fumble Execution,Fumble Entertainment,Fumble Recommendation,Hylas Expectation,Hylas Execution,Hylas Entertainment,Hylas Recommendation,Enfuego Recommendation,illusion Expectation,illusion Execution,illusion Entertainment,illusion Recommendation,guil Recommendation 
House of the Dead,4/5/2019,3,10,F,D,C,No,D,D,C,No,,,,,,
Wing Commander,3/29/2019,10,25,D,C,B,Yes,D,C,B,Yes,,,,,,
The Green Slime,3/22/2019,20,41,C,C,B,Yes,D,D,D,No,,,,,,
Stardust,3/15/2019,76,86,C,B,B,Yes,B,B,A,Yes,,,,,,
Kung Pow: Enter the Fist,,13,69,C,C,A,Yes,B,C,S,Yes,,,,,,
The Godfather,,98,98,S,S,A,Yes,S,S,A,Yes,,,,,,
Double Dragon,9/13/2018,13,26,D,A,S,Yes,D,C,A,Yes,,,,,,
Dead or Alive,,33,36,D,D,C,Yes,D,C,C,Yes,,,,,,
Mortal Kombat,,46,58,D,C,C,Yes,C,C,B,Yes,Yes,,,,,
Mortal Kombat: Annihilation,,2,25,D,D,C,Yes,C,D,C,No,Yes,,,,,
The World's End,,89,71,C,C,B,Yes,C,B,A,Yes,,,,,,
Cowboys and Aliens,,45,43,B,B,B,Yes,B,A,B,Yes,,,,,,
Star Wars: Solo,,70,64,C,B,B,Yes,C,A,B,Yes,,,,,,
Mad Max,,90,70,D,D,B,Yes,B,C,B,Yes,,,,,,
Scanners,5/2/2018,78,64,C,C,A,Yes,C,C,C,No,Yes,,,,,
Maximum Overdrive,,17,50,D,D,A,Yes,C,D,C,No,,,,,,
Final Fantasy: The Spirits Within,,45,48,B,A,C,No,C,B,C,No,,,,,,
Iron Sky,,38,37,B,C,C,Yes,B,B,B,Yes,Yes,,,,,
Warcraft,,27,77,C,A,B,Yes,C,A,C,Yes,,,,,,
Tekken,,,31,D,C,C,No,D,C,C,No,,,,,,
Street Fighter,,11,20,D,D,C,Yes,C,C,D,No,,,,,,
Bloodrayne 1,,4,17,C,C,D,No,D,D,D,No,,,,,,
Bloodrayne 2,,,14,D,D,D,No,F,D,D,No,,,,,,
Bloodrayne 3,,,12,F,D,D,No,F,D,D,No,,,,,,
Bloodrayne 4,,,13,F,C,C,No,C,D,C,No,,,,,,
Masters of the Universe,,17,40,D,D,C,No,D,D,D,No,No,,,,,
Star Wars: Holiday Special,,27,19,D,F,D,No,F,F,D,No,,,,,,
Super Mario Bros,,23,29,B,C,D,No,C,D,F,No,,,,,,
The Room,,26,47,D,F,D,Yes,D,F,D,No,,,,,,
Doom,,19,34,C,D,F,No,C,D,F,No,,,,,,
Tucker and Dale VS Evil,4/12/2019,85,84,C,B,B,Yes,B,B,B,Yes,,,,,,
Dark Star,,79,65,C,C,C,No,D,D,C,No,Yes,,,,,
Mars Attacks!,4/19/2019,53,53,C,A,B,Yes,C,B,A,Yes,,,,,,
They Live,5/3/2019,85,79,B,B,A,Yes,C,B,B,Yes,,,,,,
The Man From UNCLE,5/17/2019,66,73,C,A,A,Yes,B,A,A,Yes,,,,,,
Godzilla 1954,5/27/2019,93,89,C,A,B,Yes,C,A,B,Yes,,,,,,
Mothra vs Godzilla 1964,6/3/2019,92,67,C,B,B,Yes,C,B,B,Yes,,,,,,
Ghidorah the Three Headed Monster 1964,6/19/2019,75,59,C,C,B,Yes,C,C,C,Yes,,,,,,
Seven Psychopaths,6/20/2019,82,71,C,A,A,Yes,B,A,B,No,,,,,,
Shin Godzilla 2016,6/24/2019,86,74,C,A,B,Yes,A,B,B,Yes,,,,,,
The Legend of Chun Li,7/1/2019,5,18,D,D,D,No,F,D,D,No,,,,,,
Dragonball Evolution,7/8/2019,15,20,D,D,F,No,D,D,D,No,,,,,,
The Christmas Dragon,7/15/2019,,48,D,C,D,No,C,C,D,No,,,,,,
Dragonfyre / Orc Wars,,,22,D,C,C,No,D,C,C,No,,,,,,
Top Secret,7/29/2019,77,80,C,A,A,Yes,B,A,A,Yes,,,,,,
Detective Pikachu,8/7/2019,68,81,C,C,D,No,B,C,D,No,,,,,,
Red Faction Origins,8/14/2019,,24,D,C,D,No,D,C,D,No,,,,,,
Dracula,,91,82,B,B,A,Yes,C,C,B,Yes,,,,,,
Star Trek 1: The Motion Picture,8/22/2019,42,42,C,B,A,Yes,C,C,B,Yes,,,,,,
Star Trek 2: The Wrath of Khan,8/27/2019,87,90,B,B,B,Yes,B,B,B,Yes,,,,,,
Star Trek 3: The Search For Spock,9/5/2019,80,61,C,C,C,Yes,C,C,C,Yes,,,,,,
Star Trek 4: The Voyage Home,9/12/2019,85,81,D,B,C,Yes,C,C,C,Yes,,,,,,
Star Trek 5: The Final Frontier,10/3/2019,22,24,C,C,D,No,C,D,D,No,,,,,,
Star Trek 6: The Undiscovered Country,10/10/2019,81,83,C,A,B,Yes,C,B,B,Yes,,,,,,
Schindler's List,10/17/2019,97,97,A,S,A,Yes,A,S,A,Yes,,,,,,
The Godfather Part 2,11/7/2019,97,97,A,A,B,Yes,S,B,C,No,,,,,,
House of the Dead 2,11/21/2019,,22,D,C,D,No,D,C,C,No,,,,,,
Shattered Glass,12/5/2019,91,79,C,F,F,No,C,F,F,No,,,,,,
Star Wars,12/26/2019,93,96,A,A,A,Yes,A,A,A,Yes,,,,,,
Doom 2019,1/2/2020,,17,C,B,C,No,C,C,B,No,,,,,,
Alone in the Dark,1/23/2020,1,11,D,C,D,No,D,C,D,No,,,,,,
Brides of Dracula,2/13/2020,75,61,C,B,C,Yes,B,C,C,Yes,,,,,,
Silent Hill 2006,2/20/2020,31,63,D,A,A,Yes,B,A,B,Yes,,,,,,
Hitman,2/27/2020,15,57,D,C,D,No,D,C,D,No,,,,,,
In the Name Of The King,3/12/2020,4,22,D,C,C,No,D,C,C,No,,,,,,
Max Payne,3/26/2020,16,30,D,D,F,No,C,D,F,No,,,,,,
Parasite,4/2/2020,99,90,B,A,A,Yes,A,A,A,Yes,,,,,,
Star Trek: Generations,4/9/2020,50,57,B,C,C,No,C,C,C,No,,,,,,
Star Trek: First Contact,4/16/2020,93,89,B,B,C,No,C,B,C,Yes,,,,,,
Star Trek: Insurrection,4/23/2020,55,44,B,C,C,No,B,D,C,No,,,,,,
Star Trek: Nemesis,4/30/2020,38,49,C,C,C,No,C,C,C,No,,,,,,
Dragon Ball The Magic Begins,5/14/2020,,,D,C,A,Yes,D,C,B,Yes,,,,,,
Star Wars: The Empire Strikes Back,5/21/2020,94,97,A,A,A,Yes,A,A,A,Yes,,,,,,
Swordfish,5/28/2020,25,59,D,C,D,No,D,C,D,No,,,,,,
Snakes on a Plane,6/4/2020,69,49,C,A,S,Yes,C,A,S,Yes,,,,,,
Network,6/11/2020,92,93,C,A,A,Yes,C,C,C,Yes,,,,,,
Sharknado,6/18/2020,78,33,D,D,F,No,B,F,D,No,,,,,,
Battleship,6/25/2020,34,54,C,B,C,Yes,C,B,C,Yes,,,,,,
Abraham Lincoln: Vampire Hunter,7/9/2020,34,50,D,B,C,Yes,C,C,C,Yes,,,,,,
Sonic the Hedgehog,7/16/2020,63,93,D,B,C,Yes,C,B,C,Yes,,,,,,
